paper_id,paper,figure_or_table,sample,stage_or_model,condition_1,condition_1_value,condition_1_unit,condition_2,condition_2_value,condition_2_unit,measured_variable,measured_value,measured_unit,extra,data_type
Paper_2,Analysis and Experimental Study on Rheological Performances of Magnetorheological Fluids,Table 3,Silicone-based MRF (10% carbonyl iron powder by volume),Bingham fit,magnetic_induction_B,0.65,T,shear_rate_range,0–1000,s^-1,yield_stress_tau_y,6491,Pa,Fitting equation y=2.73x+6491; R²=0.976; viscosity parameter eta=2.73 Pa·s,reported table value
Paper_2,Analysis and Experimental Study on Rheological Performances of Magnetorheological Fluids,Table 3,Silicone-based MRF (10% carbonyl iron powder by volume),Bingham fit,magnetic_induction_B,0.86,T,shear_rate_range,0–1000,s^-1,yield_stress_tau_y,8825,Pa,Fitting equation y=2.79x+8825; R²=0.995; viscosity parameter eta=2.79033 Pa·s,reported table value
Paper_2,Analysis and Experimental Study on Rheological Performances of Magnetorheological Fluids,Table 4,Silicone-based MRF (10% carbonyl iron powder by volume),Casson fit,magnetic_induction_B,0.23,T,shear_rate_range,0–1000,s^-1,yield_stress_tau_y,1043,Pa,Fitting equation y=0.55x+32.3; R²=0.997; viscosity parameter eta=0.3 Pa·s,reported table value
Paper_2,Analysis and Experimental Study on Rheological Performances of Magnetorheological Fluids,Table 4,Silicone-based MRF (10% carbonyl iron powder by volume),Casson fit,magnetic_induction_B,0.44,T,shear_rate_range,0–1000,s^-1,yield_stress_tau_y,3080,Pa,Fitting equation y=0.60x+55.5; R²=0.992; viscosity parameter eta=0.36 Pa·s,reported table value
Paper_2,Analysis and Experimental Study on Rheological Performances of Magnetorheological Fluids,Table 4,Silicone-based MRF (10% carbonyl iron powder by volume),Casson fit,magnetic_induction_B,0.65,T,shear_rate_range,0–1000,s^-1,yield_stress_tau_y,5625,Pa,Fitting equation y=0.64x+75; R²=0.985; viscosity parameter eta=0.41 Pa·s,reported table value
Paper_2,Analysis and Experimental Study on Rheological Performances of Magnetorheological Fluids,Table 4,Silicone-based MRF (10% carbonyl iron powder by volume),Casson fit,magnetic_induction_B,0.86,T,shear_rate_range,0–1000,s^-1,yield_stress_tau_y,7627,Pa,Fitting equation y=0.65x+87.4; R²=0.992; viscosity parameter eta=0.42 Pa·s,reported table value
Paper_3,Magnetorheological fluids subjected to non-uniform magnetic fields: experimental characterization,Table 1,MRF-122EG,Fluid properties,iron_content_Fe,22,vol.%,base_viscosity_at_30C,56,cP,,,,Tested MR-fluid sample.,reported table value
Paper_3,Magnetorheological fluids subjected to non-uniform magnetic fields: experimental characterization,Table 1,MRF-132DG,Fluid properties,iron_content_Fe,32,vol.%,base_viscosity_at_30C,156,cP,,,,Tested MR-fluid sample.,reported table value
Paper_3,Magnetorheological fluids subjected to non-uniform magnetic fields: experimental characterization,Table 1,MRF-140CG,Fluid properties,iron_content_Fe,40,vol.%,base_viscosity_at_30C,648,cP,,,,Tested MR-fluid sample.,reported table value
Paper_3,Magnetorheological fluids subjected to non-uniform magnetic fields: experimental characterization,Table 2,MRF-122EG,Velocity increase,ampere_turns_A,900,A,pressure_flow_slope_k,1.6,bar·min/L,slope_factor_K,6.6,dimensionless,Offset=0.66 bar; R²=0.98,reported table value
Paper_3,Magnetorheological fluids subjected to non-uniform magnetic fields: experimental characterization,Table 2,MRF-122EG,Velocity increase,ampere_turns_A,600,A,pressure_flow_slope_k,1.63,bar·min/L,slope_factor_K,6.71,dimensionless,Offset=0.48 bar; R²=0.98,reported table value
Paper_3,Magnetorheological fluids subjected to non-uniform magnetic fields: experimental characterization,Table 2,MRF-122EG,Velocity increase,ampere_turns_A,300,A,pressure_flow_slope_k,0.55,bar·min/L,slope_factor_K,2.27,dimensionless,Offset=0.36 bar; R²=0.97,reported table value
Paper_3,Magnetorheological fluids subjected to non-uniform magnetic fields: experimental characterization,Table 2,MRF-122EG,Velocity increase,ampere_turns_A,0,A,pressure_flow_slope_k,0.24,bar·min/L,slope_factor_K,1.0,dimensionless,Offset=0.0 bar; R²=0.98,reported table value
Paper_3,Magnetorheological fluids subjected to non-uniform magnetic fields: experimental characterization,Table 2,MRF-122EG,Velocity decrease,ampere_turns_A,900,A,pressure_flow_slope_k,0.42,bar·min/L,slope_factor_K,1.74,dimensionless,Offset=0.81 bar; R²=0.99,reported table value
Paper_3,Magnetorheological fluids subjected to non-uniform magnetic fields: experimental characterization,Table 2,MRF-122EG,Velocity decrease,ampere_turns_A,600,A,pressure_flow_slope_k,0.41,bar·min/L,slope_factor_K,1.69,dimensionless,Offset=0.62 bar; R²=0.99,reported table value
Paper_3,Magnetorheological fluids subjected to non-uniform magnetic fields: experimental characterization,Table 2,MRF-122EG,Velocity decrease,ampere_turns_A,300,A,pressure_flow_slope_k,,bar·min/L,slope_factor_K,,dimensionless,Offset=None bar; R²=None,reported table value
Paper_3,Magnetorheological fluids subjected to non-uniform magnetic fields: experimental characterization,Table 2,MRF-122EG,Velocity decrease,ampere_turns_A,0,A,pressure_flow_slope_k,0.24,bar·min/L,slope_factor_K,1.0,dimensionless,Offset=0.0 bar; R²=0.98,reported table value
Paper_3,Magnetorheological fluids subjected to non-uniform magnetic fields: experimental characterization,Table 3,MRF-132DG,Velocity increase,ampere_turns_A,900,A,pressure_flow_slope_k,1.5,bar·min/L,slope_factor_K,2.76,dimensionless,Offset=1.65 bar; R²=0.97,reported table value
Paper_3,Magnetorheological fluids subjected to non-uniform magnetic fields: experimental characterization,Table 3,MRF-132DG,Velocity increase,ampere_turns_A,600,A,pressure_flow_slope_k,1.43,bar·min/L,slope_factor_K,2.64,dimensionless,Offset=1.31 bar; R²=0.97,reported table value
Paper_3,Magnetorheological fluids subjected to non-uniform magnetic fields: experimental characterization,Table 3,MRF-132DG,Velocity increase,ampere_turns_A,300,A,pressure_flow_slope_k,0.95,bar·min/L,slope_factor_K,1.75,dimensionless,Offset=0.78 bar; R²=0.99,reported table value
Paper_3,Magnetorheological fluids subjected to non-uniform magnetic fields: experimental characterization,Table 3,MRF-132DG,Velocity increase,ampere_turns_A,0,A,pressure_flow_slope_k,0.54,bar·min/L,slope_factor_K,1.0,dimensionless,Offset=0.0 bar; R²=0.99,reported table value
Paper_3,Magnetorheological fluids subjected to non-uniform magnetic fields: experimental characterization,Table 3,MRF-132DG,Velocity decrease,ampere_turns_A,900,A,pressure_flow_slope_k,0.85,bar·min/L,slope_factor_K,1.58,dimensionless,Offset=1.55 bar; R²=0.99,reported table value
Paper_3,Magnetorheological fluids subjected to non-uniform magnetic fields: experimental characterization,Table 3,MRF-132DG,Velocity decrease,ampere_turns_A,600,A,pressure_flow_slope_k,0.78,bar·min/L,slope_factor_K,1.45,dimensionless,Offset=1.2 bar; R²=0.99,reported table value
Paper_3,Magnetorheological fluids subjected to non-uniform magnetic fields: experimental characterization,Table 3,MRF-132DG,Velocity decrease,ampere_turns_A,300,A,pressure_flow_slope_k,0.79,bar·min/L,slope_factor_K,1.46,dimensionless,Offset=0.77 bar; R²=0.99,reported table value
Paper_3,Magnetorheological fluids subjected to non-uniform magnetic fields: experimental characterization,Table 3,MRF-132DG,Velocity decrease,ampere_turns_A,0,A,pressure_flow_slope_k,0.54,bar·min/L,slope_factor_K,1.0,dimensionless,Offset=0.0 bar; R²=0.99,reported table value
Paper_3,Magnetorheological fluids subjected to non-uniform magnetic fields: experimental characterization,Table 4,MRF-140CG,Velocity increase,ampere_turns_A,900,A,pressure_flow_slope_k,2.62,bar·min/L,slope_factor_K,1.54,dimensionless,Offset=2.54 bar; R²=0.98,reported table value
Paper_3,Magnetorheological fluids subjected to non-uniform magnetic fields: experimental characterization,Table 4,MRF-140CG,Velocity increase,ampere_turns_A,600,A,pressure_flow_slope_k,2.74,bar·min/L,slope_factor_K,1.61,dimensionless,Offset=2.03 bar; R²=0.99,reported table value
Paper_3,Magnetorheological fluids subjected to non-uniform magnetic fields: experimental characterization,Table 4,MRF-140CG,Velocity increase,ampere_turns_A,300,A,pressure_flow_slope_k,2.59,bar·min/L,slope_factor_K,1.53,dimensionless,Offset=1.4 bar; R²=0.99,reported table value
Paper_3,Magnetorheological fluids subjected to non-uniform magnetic fields: experimental characterization,Table 4,MRF-140CG,Velocity increase,ampere_turns_A,0,A,pressure_flow_slope_k,1.71,bar·min/L,slope_factor_K,1.0,dimensionless,Offset=0.0 bar; R²=0.99,reported table value
Paper_3,Magnetorheological fluids subjected to non-uniform magnetic fields: experimental characterization,Table 4,MRF-140CG,Velocity decrease,ampere_turns_A,900,A,pressure_flow_slope_k,3.0,bar·min/L,slope_factor_K,1.81,dimensionless,Offset=2.37 bar; R²=0.98,reported table value
Paper_3,Magnetorheological fluids subjected to non-uniform magnetic fields: experimental characterization,Table 4,MRF-140CG,Velocity decrease,ampere_turns_A,600,A,pressure_flow_slope_k,2.84,bar·min/L,slope_factor_K,1.71,dimensionless,Offset=1.9 bar; R²=0.99,reported table value
Paper_3,Magnetorheological fluids subjected to non-uniform magnetic fields: experimental characterization,Table 4,MRF-140CG,Velocity decrease,ampere_turns_A,300,A,pressure_flow_slope_k,2.59,bar·min/L,slope_factor_K,1.56,dimensionless,Offset=1.41 bar; R²=0.99,reported table value
Paper_3,Magnetorheological fluids subjected to non-uniform magnetic fields: experimental characterization,Table 4,MRF-140CG,Velocity decrease,ampere_turns_A,0,A,pressure_flow_slope_k,1.66,bar·min/L,slope_factor_K,1.0,dimensionless,Offset=0.0 bar; R²=0.99,reported table value
